T[s]	Sd/g[-]
2.245123	0.050565
2.247124	0.050520
2.249125	0.050475
2.251126	0.050430
2.253127	0.050385
2.255128	0.050340
2.257129	0.050296
2.259130	0.050251
2.261131	0.050207
2.263132	0.050162
2.265133	0.050118
2.267134	0.050074
2.269135	0.050030
2.271136	0.049985
2.273137	0.049941
2.275138	0.049898
2.277139	0.049854
2.279140	0.049810
2.281141	0.049766
2.283142	0.049723
2.285143	0.049679
2.287144	0.049636
2.289145	0.049592
2.291146	0.049549
2.293147	0.049506
2.295148	0.049462
2.297149	0.049419
2.299150	0.049376
2.301151	0.049333
2.303152	0.049291
2.305153	0.049248
2.307154	0.049205
2.309155	0.049162
2.311156	0.049120
2.313157	0.049077
2.315158	0.049035
2.317159	0.048993
2.319160	0.048950
2.321161	0.048908
2.323162	0.048866
2.325163	0.048824
2.327164	0.048782
2.329165	0.048740
2.331166	0.048698
2.333167	0.048656
2.335168	0.048615
2.337169	0.048573
2.339170	0.048532
2.341171	0.048490
2.343172	0.048449
2.345173	0.048407
2.347174	0.048366
2.349175	0.048325
2.351176	0.048284
2.353177	0.048243
2.355178	0.048202
2.357179	0.048161
2.359180	0.048120
2.361181	0.048079
2.363182	0.048039
2.365183	0.047998
2.367184	0.047957
2.369185	0.047917
2.371186	0.047876
2.373187	0.047836
2.375188	0.047796
2.377189	0.047755
2.379190	0.047715
2.381191	0.047675
2.383192	0.047635
2.385193	0.047595
2.387194	0.047555
2.389195	0.047515
2.391196	0.047476
2.393197	0.047436
2.395198	0.047396
2.397199	0.047357
2.399200	0.047317
2.401201	0.047278
2.403202	0.047239
2.405203	0.047199
2.407204	0.047160
2.409205	0.047121
2.411206	0.047082
2.413207	0.047043
2.415208	0.047004
2.417209	0.046965
2.419210	0.046926
2.421211	0.046887
2.423212	0.046848
2.425213	0.046810
2.427214	0.046771
2.429215	0.046733
2.431216	0.046694
2.433217	0.046656
2.435218	0.046617
2.437219	0.046579
2.439220	0.046541
2.441221	0.046503
2.443222	0.046465
2.445223	0.046427
2.447224	0.046389
2.449225	0.046351
2.451226	0.046313
2.453227	0.046275
2.455228	0.046238
2.457229	0.046200
2.459230	0.046162
2.461231	0.046125
2.463232	0.046087
2.465233	0.046050
2.467234	0.046013
2.469235	0.045975
2.471236	0.045938
2.473237	0.045901
2.475238	0.045864
2.477239	0.045827
2.479240	0.045790
2.481241	0.045753
2.483242	0.045716
2.485243	0.045679
2.487244	0.045642
2.489245	0.045606
2.491246	0.045569
2.493247	0.045532
2.495248	0.045496
2.497249	0.045460
2.499250	0.045423
2.501251	0.045387
2.503252	0.045350
2.505253	0.045314
2.507254	0.045278
2.509255	0.045242
2.511256	0.045206
2.513257	0.045170
2.515258	0.045134
2.517259	0.045098
2.519260	0.045062
2.521261	0.045027
2.523262	0.044991
2.525263	0.044955
2.527264	0.044920
2.529265	0.044884
2.531266	0.044849
2.533267	0.044813
2.535268	0.044778
2.537269	0.044742
2.539270	0.044707
2.541271	0.044672
2.543272	0.044637
2.545273	0.044602
2.547274	0.044567
2.549275	0.044532
2.551276	0.044497
2.553277	0.044462
2.555278	0.044427
2.557279	0.044392
2.559280	0.044358
2.561281	0.044323
2.563282	0.044288
2.565283	0.044254
2.567284	0.044219
2.569285	0.044185
2.571286	0.044151
2.573287	0.044116
2.575288	0.044082
2.577289	0.044048
2.579290	0.044014
2.581291	0.043979
2.583292	0.043945
2.585293	0.043911
2.587294	0.043877
2.589295	0.043843
2.591296	0.043810
2.593297	0.043776
2.595298	0.043742
2.597299	0.043708
2.599300	0.043675
2.601301	0.043619
